,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
1114,Lumberjack Jackson 1Fx Erkek Lacivert Koşu Ayakkabısı 100785311,199.0,249.0,20,freeShipping,100,1,Yağmur-Spor,97,4
1115,Cilt Erkek Spor Ayakkabı  M.P 7701,159.0,0.0,0,freeShipping,0,0,CityParkOne,96,4
1116,Kinetix Carter Pu 1PR Erkek Spor Ayakkabı SİYAH,159.0,289.0,45,freeShipping,0,0,Modalist,95,4
1117,JUMP 25778 ÇOCUK FILET E-K.GRI-SIYAH-TURUNCU-SARI,159.0,189.0,16,freeShipping,0,0,MUSTAFAŞEREN,100,4
1118,Kinetix ASGAR HI PU 1PR Lacivert Erkek Çocuk Sneaker Ayakkabı,186.0,0.0,0,freeShipping,0,0,INSTREET,92,4
1119,Jump 18089-A Siyah Futsal Voleybol Kız-Erkek Salon Spor Ayakkabı,155.0,199.0,22,freeShipping,0,0,Ayakland,100,4
1120,Reebok Royal Cl Jogger 3 Erkek Spor Ayakkabı EF7796,225.0,499.0,55,noShipping,100,3,Secbegenal,100,5
1121,SCOOTER Bağcıklı Günlük Erkek Spor Ayakkabı M1301,200.0,0.0,0,freeShipping,100,6,Scooter,100,5
1122,Under Armour - Koşu Ayakkabısı - Ua Ps Pursuit 2 Ac,249.0,549.0,55,freeShipping,100,2,UnderArmour,92,5
1123,North Of Wild Unreval Akıllı Taban Erkek Spor Ayakkabı,235.0,449.0,48,freeShipping,90,2,Viaspor,100,5
1124,Nike Revolution 4 Sd (Psv) Yürüyüş Ayakkabısı BQ8842 001,229.0,309.0,26,freeShipping,0,0,Sportex,100,5
1125,Scooter Deri Erkek Yürüyüş Ayakkabısı - 3 Renk Seçeneği M0781,249.0,299.0,17,freeShipping,100,2,Scooter,100,5
1126,Asics UPCOURT 2 GS Büyük Kız Çocuk Voleybol Ayakkabısı,246.0,379.0,35,freeShipping,90,4,Asics,92,5
1127,Pierre Cardin Ortopedi Günlük Erkek Spor Ayakkabı (40-44) 30897,219.0,330.0,34,freeShipping,80,4,ayakkabiburada,100,5
1128,ADİDAS VL COURT ÇOCUK BEBEK SPOR AYAKKABI - DB1839,239.0,319.0,25,noShipping,100,2,Spormarkt,99,5
1129,Under Armour - Koşu Ayakkabısı - Ua Ps Pursuit 2 Ac,249.0,549.0,55,freeShipping,100,2,UnderArmour,92,5
1130,BULLDOZER 201426 SIYAH ERKEK SPOR AYAKKABI,220.0,240.0,8,freeShipping,90,9,BULLDOZER,91,5
1131,lotto STADIO IT TX KRAMPON T1479,249.0,299.0,17,freeShipping,100,1,ÖzgürSpor,97,5
1132,Scooter Deri Koyukahve Erkek Yürüyüş Ayakkabı M0781CKO,249.0,312.0,20,freeShipping,100,1,Scooter,100,5
1133,Hammer Jack Almera Erkek Spor Ayakkabı Gri Laci v1,249.0,349.0,29,freeShipping,100,4,MarcaSpor,95,5
1134,Jump 26095 Anatomik Lastikli Kız/Erkek Çocuk Spor Ayakkabı,222.0,259.0,14,freeShipping,100,1,Viaspor,100,5
1135,Jump 24865 Hafif 46 47 48 Numara Erkek Spor Ayakkabı,249.0,0.0,0,freeShipping,0,0,ayakkabix,98,5
1136,Nike Tiempox Rio IV 10R TF Çocuk Halısaha Ayakkabısı AQ3825 007,209.0,299.0,30,freeShipping,100,15,Sportex,100,5
1137,Lotto Stadıo IT TX  Erkek Halısaha Krampon,249.0,319.0,22,freeShipping,0,0,PAPUÇCİTY,100,5
1138,M.P 211-1721 Comfolite Erkek Basketbol Ayakkabı 2 Renk,215.0,299.0,28,freeShipping,80,1,Viaspor,100,5
1139,NIKE SUNRAY PROTECT (PS) KIZ ÇOCUK SANDALET 344992 607,200.0,249.0,20,noShipping,100,2,loft_35,100,5
1140,Nike Hypervenom 3 Club Çocuk Halı Saha Ayakkabısı AJ3790 600,229.0,259.0,12,freeShipping,100,2,Sportex,100,5
1141,Pierre Cardin  Fuşya Bantlı Fileli Kız Çocuk Spor Ayakkabı,213.0,427.0,50,freeShipping,0,0,bolbolcuavm,100,5
1142,Jump 16309 Kadın/Erkek Bilekli Spor Ayakkabı (40-45),249.0,279.0,11,freeShipping,100,1,Viaspor,100,5
1143,Adidas X 18.4 FxG J Çocuk sarı Futbol Ayakkabısı DB2420,229.0,329.0,30,freeShipping,100,1,Sportex,100,5
1144,Jump 11743 Erkek Spor Ayakkabı,209.0,0.0,0,freeShipping,100,5,JUMP,100,5
1145,Jump 25662 Comfort Tabanlı Erkek Yürüyüş ve Spor Ayakkabı,230.0,0.0,0,freeShipping,90,19,Viaspor,100,5
1146,Nike Çocuk Halısaha Ayakkabı AT8177-801 JR VAPOR 13 CLUB TF,249.0,300.0,17,freeShipping,0,0,Kral_Spor,100,5
1147,Jump 24865 Erkek Spor Ayakkabı,219.0,0.0,0,freeShipping,100,6,JUMP,100,5
1148,Lumberjack 9F Hello 9Pr Beyaz Erkek Spor Ayakkabı 100403656,202.0,323.0,38,freeShipping,0,0,GizerlerGiyim,98,5
1149,Bulldozer 211476 Bağcıksız Erkek Spor Ayakkabı,229.0,309.0,26,freeShipping,100,2,Viaspor,100,5
1150,ADİDAS ÇOCUK AYAKKABI EF0221,245.0,409.0,40,freeShipping,0,0,northsport,93,5
1151,Nike AH 7355-810 HALISAHA AYAKKABI,245.0,0.0,0,noShipping,0,0,GaleriEGESpor_GEGES,95,5
1152,Cg6808 Altarun Cf I Adidas Kız Bebek Çocuk Spor Ayakkabı,229.0,249.0,8,noShipping,100,3,sporcenter,100,5
1153,Jump 25520 Comfort Tabanlı Erkek Spor Ayakkabısı,229.0,229.0,0,freeShipping,20,1,Viaspor,100,5
1154,ADİDAS VL COURT 2.0 CMF I,214.0,279.0,23,freeShipping,0,0,SPORÇANTAM,98,5
1155,BULLDOZER 201426 KIRMIZI ERKEK SPOR AYAKKABI,220.0,240.0,8,freeShipping,90,3,BULLDOZER,91,5
